embed_size,hidden_size,learning_rate,weight_decay,seed,regularization,embed_config,is_collapsed_hidden,is_tied_hidden,is_collapsed_out,is_symmetric_input,slug,maxRatio,minTrainLoss,minEvalLoss
64,64,0.0001,0.01,6,l2,tied,false,false,true,true,002845739479984788,66278567052741.7,4.023785660194484e-8,42321.97488987797
128,128,0.01,0.1,6,l2,untied,false,true,true,false,0028572039520896597,1989313374374.1133,8.844671217494718e-8,0.00005731537855736671
64,64,0.01,0.3,7,l2,input_tied,false,true,true,true,002917941798648127,4446328.801787092,2.4881965886357524e-7,0.000006614944163923852
512,512,0.0001,0.3,0,l2,tied,false,false,true,false,002920773198931803,746014400750.3464,3.528610927726751e-7,42884.549725220226
512,512,0.01,1,0,l2,input_tied,true,false,false,false,00295432726558853,7142.1820439307785,7.636711881714561e-7,0.003492410415890738
128,128,0.001,0.01,0,l2,tied,false,true,true,true,0029563406755234167,35007605852058.652,8.298017162276833e-9,42408.97823408307
64,64,0.001,0.03,7,l2,tied,true,true,false,true,0029603971120378825,3551513249676.2285,1.2924897596595085e-8,1.5407847484501713e-7
128,128,0.0001,0.3,6,l2,input_tied,false,false,true,false,0029632745912363534,713011996534.3398,7.640161227295633e-7,42301.10083353153
128,128,0.0001,0.03,4,l2,untied,true,true,true,false,002970057873257992,1016023684325.1592,5.325235183524728e-7,42321.434930451986
64,64,0.001,0.03,3,l2,tied,false,false,false,false,0029756851984927835,49689973241514.05,1.0282796614170174e-8,42329.23088306785
512,512,0.01,1,0,l2,input_tied,true,false,false,true,0029952142682648786,23167.616260945626,7.697566678414193e-7,0.007810321892362386
512,512,0.001,0.1,4,l2,input_tied,false,false,false,true,003032103492211391,4613676755714.308,2.397238962882012e-8,4.285769801133304e-7
512,512,0.01,0.3,7,l2,untied,true,false,true,false,003061950565261373,4573280668.994859,0.0000018064622955316713,0.008362722543113384
128,128,0.0001,0.03,5,l2,tied,false,true,false,true,00307807654261949,16373327302696.758,6.398731766657095e-9,4025.1688386082974
512,512,0.01,0.1,5,l2,untied,false,false,true,false,0032259354375546723,1029081149979.1116,9.285362301138696e-8,0.0000013806420183979663
64,64,0.0001,1,1,l2,untied,false,false,true,true,003251838942717522,4002746.6978455447,0.1307099634574919,42303.690526474675
256,256,0.01,0.3,8,l2,tied,false,true,false,false,00329823276348018,55708.725019128986,4.381193829910196e-8,2.014835191952965e-7
32,32,0.0001,0.03,2,l2,tied,false,true,true,true,0033704283792036493,8108113232.602092,2.1001038463615784e-8,4.6837606168833466
256,256,0.01,0.01,6,l2,tied,false,false,false,false,003371600834510935,98987485393014.53,1.3389784836445682e-9,3.929554681646512e-9
128,128,0.01,1,1,l2,untied,true,false,true,true,0034242191470177374,6109743.58379341,0.00014015388228297618,762.6043990627047
32,32,0.001,0.3,7,l2,untied,false,false,false,false,003445652593056292,470.2623994830858,1419.979089072551,42359.694104000766
32,32,0.001,0.3,6,l2,tied,true,true,false,true,0034698506381324323,85694778.30328101,3.0586260632736435e-7,0.0000025915291655366423
256,256,0.01,0.01,6,l2,tied,true,false,true,true,003651032177152347,44.69797081660672,4041.06315912398,18880.71563288983
32,32,0.0001,1,4,l2,input_tied,false,false,true,true,003658141197911857,1437.6838770266445,0.03264472826801519,40.266290659862534
256,256,0.001,0.01,2,l2,tied,true,true,true,false,0038019207833653867,5.710735303791758,4184.094405995088,18545.63187913131
32,32,0.01,0.03,3,l2,input_tied,false,false,true,false,003809943852149722,155.2060581971832,5482.177980830469,42335.76047349222
64,64,0.01,0.01,4,l2,untied,true,true,true,false,003825403034731112,3351831357498.5913,2.2659136099998442e-7,42369.60630617471
32,32,0.001,0.1,8,l2,input_tied,true,false,true,true,003920295886594594,13915699076.770372,0.0000019108915529818167,181.93047664093504
32,32,0.001,0.03,4,l2,tied,false,true,true,false,0039470583540607285,53227213360.40118,2.101621920921452e-8,0.0000016158881885178971
256,256,0.01,0.3,0,l2,untied,true,false,true,true,003988570624064547,10103742343.321312,0.000002124284234325376,0.3337814530947787
256,256,0.001,1,1,l2,input_tied,true,true,true,true,003993436002028838,15828318.3799635,0.000012965828164000419,38.32563662823317
256,256,0.0001,1,5,l2,input_tied,false,false,true,false,00401090286682515,103234470052.81833,0.0000013608320492004307,0.0009964913012142811
128,128,0.01,0.03,0,l2,untied,true,false,true,true,004089601147253985,869408390477.2848,2.1401811855370095e-7,278.2557058779165
32,32,0.0001,0.03,5,l2,input_tied,false,true,true,false,004205937569505935,1032167748600.6904,4.136489350996884e-8,23061.322728676605
64,64,0.01,0.1,0,l2,input_tied,true,false,true,true,004208400518001643,19471209007.756474,8.41320638569397e-7,136.58959185008092
512,512,0.01,0.3,2,l2,input_tied,true,true,false,true,004247113074473785,211848.5478531153,1.9977124109699596e-7,0.0005214609114908206
32,32,0.0001,1,8,l2,untied,false,false,true,false,004324017788245427,15.766038755654208,6327.801157797865,42302.162049533006
256,256,0.001,0.01,5,l2,untied,true,false,false,true,004378757459532645,23784328783960.316,1.6382462941740643e-8,42416.270282624
32,32,0.01,1,2,l2,untied,true,false,false,false,004387031713561584,87409.62836653033,0.00019470752637798977,0.7482070405958431
512,512,0.01,0.03,4,l2,untied,true,true,false,false,004480774129227538,6148307278747.565,2.256334918896082e-8,0.00006353028808940336
512,512,0.0001,0.03,0,l2,untied,true,false,false,false,004484770322477294,7014869656269.955,4.9023453962633744e-8,42384.42797054789
512,512,0.0001,0.03,4,l2,tied,true,false,true,true,004555305013200783,5.122665008010432,4266.434032983202,19178.155125889865
32,32,0.0001,1,2,l2,untied,false,false,false,true,004566088223235343,39.95022825094247,4543.54219664836,42348.125449751446
256,256,0.0001,0.3,1,l2,untied,true,false,true,true,00463353926745802,51153899117.637596,0.000004305564281656857,42305.89168072673
256,256,0.0001,0.03,3,l2,input_tied,true,false,false,true,004682274138741893,6241538018211.399,4.036036749230086e-8,42399.81143738613
64,64,0.0001,1,7,l2,tied,false,false,true,false,004690301988346746,2236817.4070599694,0.05717905020255081,42335.84482278565
32,32,0.001,1,8,l2,untied,true,true,true,true,004694020684652966,6.461155864997706,3251.7148543316093,16455.235492915235
256,256,0.01,0.1,6,l2,tied,false,false,true,false,004707221080315294,2469968865902.6724,4.6582714130165786e-8,4.7652231991181877e-7
128,128,0.0001,0.01,3,l2,input_tied,false,false,false,false,004722721580800449,103732396741727.94,6.854154133144445e-9,42358.97262075664
32,32,0.001,0.3,7,l2,untied,true,true,true,true,004735105602404643,37959047.37797531,0.00003403888727631035,157.13240641972317
64,64,0.01,1,6,l2,input_tied,true,false,false,false,004782855385063733,505463.391178489,0.000002130071893119544,0.04265755225763503
32,32,0.001,1,7,l2,untied,false,true,false,true,004791358664425371,8821527528.895742,9.04420822270463e-7,0.002089955779812025
32,32,0.0001,0.01,1,l2,untied,false,true,false,true,004791483912148342,40547.83409590233,515.7020364227643,42370.03033640109
32,32,0.001,0.03,5,l2,untied,true,true,true,true,004814326074425113,5217.403359308857,560.2034145518019,42316.56121140616
128,128,0.0001,0.03,4,l2,input_tied,false,false,true,false,004821246924600064,10393262442050.38,6.539452379544866e-8,42317.56253819432
512,512,0.0001,1,0,l2,untied,false,true,false,false,004892327485169878,335322616196.3728,2.8862837407360403e-7,0.000007366625572921786
32,32,0.001,0.1,0,l2,input_tied,true,false,false,false,004911832335360633,251365324219.99576,9.315355508970059e-8,0.9916313016945639
