embed_size,hidden_size,learning_rate,weight_decay,seed,regularization,embed_config,is_collapsed_hidden,is_tied_hidden,is_collapsed_out,is_symmetric_input,slug,maxRatio,minTrainLoss,minEvalLoss
32,32,0.0001,1e-9,6,l1,tied,false,false,true,false,005655130347034909,131153.19675755792,1.4078358535394868e-7,0.006406277505295865
512,512,0.01,1e-9,7,l1,tied,true,true,false,false,005757657089536128,113079.22573015325,3.903211466513282e-8,7.99099281388706e-8
128,128,0.001,1e-10,4,l1,input_tied,false,false,false,false,005854704526005561,15549969.359675616,1.8249600395418514e-8,0.041945187650124276
256,256,0.01,1e-9,5,l1,tied,true,false,false,false,005869068094978669,275623.0879684962,4.6877173567717906e-8,0.000002088584186252434
256,256,0.001,1e-11,8,l1,input_tied,true,false,false,false,00602575074580336,29556867.77740129,4.474421017389771e-9,0.0419733962597331
32,32,0.0001,1e-11,0,l1,input_tied,false,true,false,false,006052311399852295,50418651.46703583,7.111958489435543e-10,0.023665310663901422
64,64,0.001,1e-7,5,l1,input_tied,true,true,true,false,0060699780511422885,414.6359788081136,0.00005562806429048653,0.00017953710805334496
32,32,0.01,1e-8,4,l1,input_tied,true,false,true,false,006099565436902599,4190.9185822363925,0.000005589511271808339,0.0015186644254295274
32,32,0.001,1e-11,0,l1,tied,false,false,true,false,0061470027256745885,856989.3793337704,8.931645527757229e-10,0.00041644937931989147
32,32,0.001,1e-11,5,l1,input_tied,true,false,true,false,006308884050425401,7537556.832283207,7.344741014969307e-9,0.03651816657336171
128,128,0.0001,1e-9,7,l1,input_tied,true,false,false,false,006323417569164658,406724.0148099679,1.905700428301323e-7,0.0007172593242009687
512,512,0.0001,1e-9,2,l1,input_tied,true,false,false,false,006390674709505051,107701.85648008878,1.4629977977291304e-7,0.000007519942482576899
256,256,0.01,1e-9,3,l1,input_tied,true,false,false,false,0064394756604805314,139547.2057597785,5.570375668940087e-8,0.0000017853709662012756
64,64,0.01,1e-11,0,l1,input_tied,true,true,true,false,006499582406255255,23061941.99405879,6.42149473461318e-9,0.04193829178706811
128,128,0.001,1e-10,5,l1,tied,false,false,false,false,006631168682874056,19926701.657937095,1.44580333059213e-8,0.04195118084112138
128,128,0.001,1e-10,6,l1,tied,true,false,true,false,006648856887457755,2.3326950549901238,0.009798364276622383,0.018782762927100197
64,64,0.01,1e-10,1,l1,tied,false,false,true,false,006708803746188763,41631784.42765401,2.7902747815321725e-8,0.04196399376827981
128,128,0.0001,1e-8,1,l1,tied,true,false,false,false,006848180284711569,53140.2093449434,5.310952457231203e-7,9.382228628058401e-7
128,128,0.001,1e-7,5,l1,tied,false,false,false,false,0069328511632962275,5742.556972807378,0.0000021750613064663143,0.0000029777434305146285
32,32,0.001,1e-9,6,l1,input_tied,false,true,false,false,006965035087490468,184323.16255405254,2.4944123142900663e-8,0.0000043280074077191905
64,64,0.0001,1e-10,0,l1,input_tied,false,false,false,false,007130113808146099,45151296.741273895,1.919615572004474e-8,0.04192163633405557
32,32,0.0001,1e-8,7,l1,input_tied,false,false,false,false,007231411993976478,219634.83272484303,0.0000010240698072883496,0.04191363317163625
32,32,0.0001,1e-8,0,l1,tied,false,true,true,false,007322531880826544,402.0554974938601,6.470176241324105e-7,0.00002262078730386492
128,128,0.001,1e-7,1,l1,input_tied,true,false,false,false,00736981680224047,1143.6461057682382,0.000007535738029657294,0.00007297560553935775
128,128,0.01,1e-10,2,l1,tied,true,true,true,false,007398203574147222,3.939551266509362,0.009814232742572657,0.01908322909507004
256,256,0.0001,1e-11,6,l1,input_tied,false,true,false,false,007429145077671118,47265692.02534596,3.393401619340685e-9,0.041932647189260895
128,128,0.0001,1e-10,0,l1,input_tied,true,true,false,false,0074878843615058255,5334810.159156699,3.441315624665377e-8,0.041946681327059324
