n,k,train_size,hidden_size,weight_decay,w_init_scale,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,750,32,0.01,10,1,038219134750730244,47181890.37548037,1.1920930376163597e-7,0.7177318930625916
30,3,750,32,0.03,3,5,03881583889676021,50179746.01810813,1.1920930376163597e-7,0.718407392501831
30,3,1250,32,0.3,1,3,04023264459169251,2042568.2685555064,1.1920930376163597e-7,1.9301178610930947e-7
30,3,1250,32,0.1,1,2,04024835890201883,2324591.472887102,1.1920930376163597e-7,1.1920930376163597e-7
30,3,750,32,0.03,1,5,04049272431687323,47549382.331671916,1.1920930376163597e-7,0.5249986052513123
30,3,1500,32,0.3,1,5,04091782299311364,235.60151915532123,1.1920930376163597e-7,1.4698507300181518e-7
30,3,1250,32,0.3,3,4,041299136056300756,9899.654859746102,2.5911336365425086e-7,2.7962926196778426e-7
30,3,1500,32,1,3,8,04130345680446179,1.9874505704439416,0.052603717893362045,0.0676579549908638
30,3,1250,32,0.01,10,8,041970289242459824,12887499.304127693,1.1920930376163597e-7,0.3213212192058563
30,3,1750,32,0.03,3,5,04354000308820705,61965.0234375,1.1920928955078125e-7,1.1973382640917407e-7
30,3,1000,32,0.03,1,3,04356094254413034,29423674.492424667,1.1920930376163597e-7,0.0003560244513209909
30,3,1000,32,0.01,1,1,043716676310907254,32719216.099565495,1.1920930376163597e-7,0.7034973502159119
30,3,1750,32,0.1,3,0,0437670983605879,9370.4423828125,1.1920928955078125e-7,1.1920930376163597e-7
30,3,1500,32,1,10,2,04409081632514855,2.315151709401422,0.049297839403152466,0.05497309938073158
30,3,1000,32,1,1,5,044118006272457544,6.304159266653544,0.1085285097360611,0.6620926260948181
30,3,1500,32,0.1,3,5,04517356854805188,37975.03453552311,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1750,32,0.3,3,4,045273282953163685,4376.919903469719,1.1920928955078125e-7,2.486706307536224e-7
30,3,1000,32,0.1,1,7,04579074958326623,20687369.533873376,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1750,32,0.01,1,8,04584380601850868,243288.3125,1.1920928955078125e-7,0.00008386425906792283
30,3,1750,32,0.1,1,5,04617265447584218,2020.4091796875,1.1920928955078125e-7,1.1920930376163597e-7
30,3,750,32,0.3,10,5,04643986945289946,32249756.15552948,1.1920930376163597e-7,0.000004007270035799593
30,3,1750,32,0.1,3,1,04735288412146832,5032.9990234375,1.1920928955078125e-7,1.1920930376163597e-7
30,3,1500,32,0.01,3,5,04737219118733593,42129.993427593094,1.1920930376163597e-7,0.000009487317583989352
30,3,1250,32,0.1,3,2,047723422063270404,3424890.9204041213,1.1920930376163597e-7,1.1931659571473574e-7
30,3,1500,32,0.1,3,8,04817676956716743,71870.6153886726,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1500,32,1,3,0,04983488262820446,2.16302415955129,0.04593866318464279,0.05090101435780525
30,3,1000,32,0.01,0.1,0,04986062436011507,21470991.440458365,1.1920930376163597e-7,0.6939352750778198
30,3,1500,32,0.01,3,1,050237001117020896,420611.5250692941,1.1920930376163597e-7,0.0012836602982133627
30,3,1500,32,0.1,10,8,05046771850808418,150911.46062177903,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1500,32,0.1,1,1,0510888979174654,1053806.8221007606,1.1920930376163597e-7,1.1924507248295413e-7
30,3,1750,32,0.03,0.1,4,05176390655333707,21521.529296875,1.1920928955078125e-7,1.2046101005580567e-7
30,3,1750,32,0.03,10,5,05198405910264936,241098.265625,1.1920928955078125e-7,1.2205840960177738e-7
30,3,750,32,0.3,1,1,05242354448458775,26373807.591971647,1.1920930376163597e-7,0.7018068432807922
30,3,1750,32,0.3,10,5,052532922820680894,52.094892892549176,1.1920928955078125e-7,1.9518141414209822e-7
30,3,1750,32,0.1,1,4,053282531032116554,445.4580383300781,1.1920928955078125e-7,1.1920930376163597e-7
30,3,1000,32,0.1,10,5,054090361502440065,5743848.571705423,1.1920930376163597e-7,1.198291954551678e-7
30,3,1000,32,0.3,0.3,7,05428100328701291,17484638.46015064,1.1920930376163597e-7,4.615427826593077e-7
30,3,750,32,0.01,3,6,05481030842370471,43391962.82727494,1.1920930376163597e-7,0.7203339338302612
30,3,750,32,0.01,3,7,055336884521634655,43180846.85244192,1.1920930376163597e-7,0.7213331460952759
30,3,1750,32,0.1,10,7,05534719503321628,10632.456498890624,1.1920928955078125e-7,1.1922122666874202e-7
30,3,1000,32,0.03,3,8,055433005864462426,21827001.39801867,1.1920930376163597e-7,0.000004901985903416062
30,3,1500,32,0.03,1,8,05573636697348172,119940.3245540578,1.1920930376163597e-7,1.22284916415083e-7
