n,k,train_size,hidden_size,weight_decay,w_init_scale,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,2000,32,0.01,1,2,05801232574271997,76094.23311636053,1.1920930376163597e-7,0.000005381173650675919
30,3,1500,8,0.0001,1,4,05974106761320119,877054.7084396606,1.1920930376163597e-7,0.06819339096546173
30,3,500,8,0.1,1,2,059967699708117106,2.792671460204995,0.529762327671051,0.6931293606758118
30,3,250,32,0.001,1,2,060093198258467706,62740724.52072281,1.1920930376163597e-7,0.7030306458473206
30,3,250,16,0.0001,1,2,06027268643700001,62313848.57161038,1.1920930376163597e-7,0.7094014286994934
30,3,1000,128,1,1,2,061448976758635365,15307336.746371547,1.2248756320332177e-7,0.17317964136600494
30,3,1500,32,0.01,1,8,06154895556580653,2131468.9959090953,1.1920930376163597e-7,0.014300829730927944
30,3,500,64,0.001,1,1,06218306781353611,59877356.86206283,1.1920930376163597e-7,0.7021709084510803
30,3,2000,8,0.0001,1,7,06290974143763306,128.13481138529642,1.1920930376163597e-7,2.5868894226732664e-7
30,3,2000,8,0.01,1,4,06298956712309078,1.268293019093746,0.08595037460327148,0.08484134078025818
30,3,1000,16,0.001,1,7,06348776765301822,2398.5257134496655,1.1920930376163597e-7,0.000016217487427638844
30,3,1500,64,1,1,2,06367566004221292,11.530625884273189,0.005526516120880842,0.019561171531677246
30,3,2000,8,0.00001,1,0,06473204000176247,1.0806892517381887,0.34622713923454285,0.3505350947380066
30,3,250,64,0.0001,1,0,06517283390012996,64483672.312947236,1.1920930376163597e-7,0.7021236419677734
30,3,1500,128,0.01,1,1,06581456610264314,15724527.125490293,1.1920930376163597e-7,0.7056423425674438
30,3,2000,16,0.001,1,7,06591995863417288,30517.720971379164,1.1920930376163597e-7,0.000001119130843107996
30,3,1500,32,0.01,1,3,06697393232558146,202351.42900282991,1.1920930376163597e-7,0.000029540777177317068
30,3,1500,64,0.00001,1,1,06700712281327403,9811538.830373427,1.1920930376163597e-7,0.7002542614936829
30,3,500,32,0.1,1,0,0672068431088767,55500465.38382895,1.1920930376163597e-7,0.6874558329582214
30,3,500,16,0.00001,1,2,06792591551458305,55477125.3866113,1.1920930376163597e-7,0.710751473903656
30,3,1000,64,0.1,1,0,06804380698935664,35876983.723130256,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1000,16,0.01,1,4,06823004788162379,2487832.703427231,1.1920930376163597e-7,0.034745603799819946
30,3,1000,8,0.001,1,6,06927254912616909,1.8692777208690559,0.54075026512146,0.6970803737640381
30,3,250,128,0.01,1,8,06937470402095036,61308368.691472925,1.1920930376163597e-7,0.7048662900924683
30,3,1500,8,0.01,1,4,06954799485373708,1.241744714842215,0.08687455207109451,0.09010925143957138
30,3,1500,16,0.001,1,4,07104586411692337,5.491781914925269,1.1920930376163597e-7,1.4050068841697794e-7
30,3,1000,32,0.00001,1,4,0730346332641898,7780468.072495929,1.1920930376163597e-7,0.5955478549003601
30,3,1500,128,0.1,1,3,07318860334412891,12817864.471991483,1.1920930376163597e-7,1.1920930376163597e-7
30,3,250,32,1,1,3,07371190785346204,40305234.54615955,1.2040140973113012e-7,0.7061208486557007
30,3,250,8,0.00001,1,6,07599703968617799,80.68568684382413,0.0859503522515297,0.6971108913421631
30,3,1500,16,0.00001,1,3,07628380390690193,1364.2740072877398,1.1920930376163597e-7,0.000006308531737886369
30,3,1000,128,0.001,1,1,07863257555112768,48140090.26125404,1.1920930376163597e-7,0.7054067254066467
30,3,250,8,0.00001,1,4,07865515843415749,227.8430081784673,0.0332711823284626,0.7135934233665466
30,3,500,64,0.01,1,3,07902311363845127,62558724.54241889,1.1920930376163597e-7,0.7000948786735535
30,3,1000,16,0.00001,1,0,08071025218369587,3353038.650997916,1.1920930376163597e-7,0.2825624346733093
30,3,2000,128,0.01,1,2,08084214424652525,2132211.4958205824,1.1920930376163597e-7,0.049317050725221634
30,3,2000,64,0.1,1,1,08140785013077134,419692.3537690668,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1500,32,0.001,1,0,08520587497198195,1882183.0256262987,1.1920930376163597e-7,0.13905449211597443
30,3,250,16,0.01,1,2,08641284196219745,61205856.70369331,1.1920930376163597e-7,0.7052363157272339
30,3,1000,16,1,1,0,08693518597162642,2.0479541447883833,0.3346536457538605,0.6570969820022583
30,3,1000,32,0.001,1,5,0874538232538864,14920810.221300814,1.1920930376163597e-7,0.7009358406066895
30,3,500,8,0.0001,1,5,08870382803038168,291.48002342216665,0.024954641237854958,0.6981416940689087
30,3,1500,128,0.00001,1,4,08921294281968672,6310907.747681171,1.1920930376163597e-7,0.24520297348499298
30,3,250,16,0.001,1,8,09354343467553039,58992116.96759165,1.1920930376163597e-7,0.7148321270942688
30,3,500,16,0.01,1,2,0937593743435986,59838240.86672582,1.1920930376163597e-7,0.7075506448745728
30,3,250,16,0.01,1,3,0944581846320498,62938740.49711746,1.1920930376163597e-7,0.7007084488868713
30,3,250,8,1,1,3,0949641808897006,4.017886246655986,0.2530379891395569,0.6975065469741821
30,3,2000,32,0.00001,1,6,09518426692716464,120185.071610323,1.1920930376163597e-7,0.001158469938673079
30,3,1000,32,0.1,1,4,09530065157637435,10570530.597562388,1.1920930376163597e-7,1.1924507248295413e-7
30,3,500,64,0.0001,1,7,09542854290038982,55984029.32618364,1.1920930376163597e-7,0.7270928621292114
30,3,1000,32,0.00001,1,0,0957360758533502,40189063.20909033,1.1920930376163597e-7,0.7045207619667053
30,3,250,128,0.0001,1,4,09576762719706755,61199360.70446769,1.1920930376163597e-7,0.7170153856277466
30,3,2000,128,0.01,1,8,09620829304168066,1126187.5800072628,1.1920930376163597e-7,0.014345642179250717
30,3,250,128,0.001,1,6,09637699091073493,63272448.45733637,1.1920930376163597e-7,0.7015228271484375
30,3,250,128,0.01,1,4,09666007344369165,64267756.33868643,1.1920930376163597e-7,0.7131622433662415
30,3,2000,16,0.1,1,4,10108417016015991,5.890963708930686,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1000,128,1,1,3,10260404483489116,17676080.318139497,1.199245645011615e-7,0.04996942728757858
30,3,250,8,1,1,8,10304459196695892,2.3509337073692382,0.40242552757263184,0.6938580274581909
30,3,2000,16,0.01,1,8,10310382674879282,58612.58676283517,1.1920930376163597e-7,6.688954385936086e-7
30,3,250,64,0.00001,1,3,1063729353746442,62047576.60335247,1.1920930376163597e-7,0.7031140327453613
30,3,1000,8,0.001,1,3,10691474525943856,21631.66929630407,1.1920930376163597e-7,0.000011089407053077593
30,3,2000,32,1,1,2,1073534235635758,1.9124251666518322,0.044658005237579346,0.0469905249774456
30,3,500,128,0.01,1,1,10751618314761635,62362108.56585734,1.1920930376163597e-7,0.702926516532898
30,3,1500,128,1,1,5,10756910244591922,1588413.625870848,1.1960666768118244e-7,0.000020054121705470607
30,3,250,8,0.1,1,4,10802369481752994,1166.6537039119276,0.005545313004404306,0.7097997069358826
30,3,500,128,0.00001,1,0,10829062604636708,62909516.50060123,1.1920930376163597e-7,0.7028477191925049
30,3,1500,16,0.1,1,0,10861820661994559,5607.047783505486,1.1920930376163597e-7,1.1943581057494157e-7
30,3,2000,128,0.01,1,7,10904071025703077,4488795.964893822,1.1920930376163597e-7,0.15630216896533966
30,3,1000,16,0.001,1,0,11013886591611322,7059668.753984148,1.1920930376163597e-7,0.5748661756515503
30,3,1000,8,0.01,1,6,11147571477113505,18121.20242080135,1.1920930376163597e-7,8.133130791065923e-7
30,3,1000,32,0.00001,1,8,11171525250726566,29839798.442818828,1.1920930376163597e-7,0.6997957825660706
30,3,1500,128,0.00001,1,0,11240634574266806,6227593.7576129725,1.1920930376163597e-7,0.40606027841567993
30,3,2000,32,0.01,1,7,11250271125270672,119437.04826199434,1.1920930376163597e-7,0.00010612462210701779
30,3,250,128,0.1,1,0,11536481086130801,62963572.494157255,1.1920930376163597e-7,0.7057884335517883
30,3,1500,64,1,1,0,11570095751910137,12.163079457545367,0.002564753405749798,0.004428372252732515
30,3,1500,128,0.1,1,5,11582200827915456,5625104.82943525,1.1920930376163597e-7,1.1920930376163597e-7
30,3,250,8,0.01,1,0,11601258447190865,144.02940875206284,0.047134120017290115,0.7063634395599365
30,3,2000,16,0.0001,1,2,11606710945589627,266.4800494416641,1.1920930376163597e-7,0.000002545294364608708
30,3,2000,32,0.1,1,5,1176178198056751,2602.9348227362393,1.1920930376163597e-7,1.1920930376163597e-7
30,3,2000,8,0.0001,1,8,11766672782591103,1.15670409891257,0.33721619844436646,0.345048725605011
30,3,1000,32,0.001,1,1,11774565232456446,27979092.664632242,1.1920930376163597e-7,0.7030768394470215
30,3,1500,16,0.00001,1,0,11815883698607554,5462.2255694251635,1.1920930376163597e-7,6.632002964579442e-7
30,3,2000,128,1,1,7,1189408692218501,239689.83070414796,1.1920930376163597e-7,1.8186591432822752e-7
30,3,1000,16,0.0001,1,6,12062140281933487,19715210.577451117,1.1920930376163597e-7,0.7066723704338074
30,3,250,8,0.00001,1,0,12119107529650408,61731232.641063616,1.1920930376163597e-7,0.7192373871803284
30,3,500,64,1,1,5,12126738151462169,34722414.69396039,1.3279917254749307e-7,0.697697103023529
30,3,1500,64,0.00001,1,3,1215386929043285,16444320.03968429,1.1920930376163597e-7,0.7010545134544373
30,3,1500,32,0.00001,1,3,12167058340122472,1852032.1542205627,1.1920930376163597e-7,0.19505594670772552
30,3,250,32,1,1,4,12173313603604075,401.4266660366968,0.00523339631035924,0.7215518951416016
30,3,1000,16,0.01,1,5,12206082333299983,62816.0126565857,1.1920930376163597e-7,2.878336999856401e-7
30,3,500,16,0.001,1,6,12276990877280058,60271548.815071486,1.1920930376163597e-7,0.7076596021652222
30,3,1000,8,0.0001,1,6,12506223755144963,3.0674746266240325,0.08456407487392426,0.08877748250961304
30,3,250,128,1,1,7,12516281810733532,40423051.18119679,1.1920930376163597e-7,0.7019187211990356
30,3,2000,64,1,1,7,12529630229515287,1.4250387591537672,0.17712418735027313,0.1975010186433792
30,3,1000,128,0.0001,1,2,12534186184798812,34636759.87097646,1.1920930376163597e-7,0.7110582590103149
30,3,1000,16,0.00001,1,1,1265722675978146,5169724.775966841,1.1920930376163597e-7,0.5294594764709473
30,3,1500,128,1,1,1,12885109377043802,2387900.9546747925,1.2071929234025447e-7,0.0000862401066115126
30,3,2000,8,0.00001,1,5,12925312271313216,1.3642144902381939,0.0866435095667839,0.0877525582909584
30,3,1500,32,1,1,7,1318480985974132,2.661433462736066,0.10670271515846252,0.21845978498458862
30,3,500,16,1,1,6,13195218102738648,5.228180507736357,0.20366612076759338,0.7075909376144409
30,3,1000,128,0.01,1,5,13268924113878233,34177955.925670154,1.1920930376163597e-7,0.707870602607727
30,3,250,128,0.001,1,1,13314655841340406,64173392.34993549,1.1920930376163597e-7,0.7033114433288574
30,3,2000,8,0.0001,1,1,13390288258246463,1.4929103555950403,1.1920930376163597e-7,1.231313007110657e-7
30,3,500,64,1,1,6,13434334933865444,34989235.210543156,1.2969972829068865e-7,0.7016756534576416
30,3,1500,64,0.001,1,7,13451811456519636,994335.318965993,1.1920930376163597e-7,0.09097924828529358
30,3,1000,64,0.01,1,4,13576313368321802,44555862.68852726,1.1920930376163597e-7,0.707581639289856
30,3,250,128,0.001,1,2,1360664411965411,62172748.588430814,1.1920930376163597e-7,0.7124336957931519
30,3,250,128,0.0001,1,2,136505353571871,62763020.518064916,1.1920930376163597e-7,0.7133643627166748
30,3,500,128,0.001,1,6,13666731215414052,64067564.36255117,1.1920930376163597e-7,0.7063955664634705
30,3,250,16,1,1,1,13695995663661964,28.87851998657468,0.04942901059985161,0.7035814523696899
30,3,500,16,0.001,1,3,1375823337720965,53384365.6360877,1.1920930376163597e-7,0.7018651366233826
30,3,1000,64,1,1,7,13805931053262133,4.005184750457121,0.13207538425922394,0.5073391199111938
30,3,1000,16,0.0001,1,1,14036615569389765,2085082.3764388112,1.1920930376163597e-7,0.2328958958387375
30,3,500,32,0.0001,1,8,14094920308041847,62811428.51229423,1.1920930376163597e-7,0.7014079093933105
30,3,250,32,0.00001,1,1,1430934187746441,63153824.47147745,1.1920930376163597e-7,0.7050522565841675
30,3,250,32,0.1,1,6,14484592409668495,60309876.81050243,1.1920930376163597e-7,0.7130729556083679
30,3,1000,8,0.1,1,0,1452378614872959,1.409660864367012,0.25860804319381714,0.25568440556526184
30,3,1500,64,0.01,1,1,145876771640028,11478855.631613776,1.1920930376163597e-7,0.4402795732021332
30,3,500,128,1,1,8,14704251651795752,39384623.304987036,1.1920930376163597e-7,0.7029319405555725
30,3,250,64,0.1,1,8,14745647665515016,62265928.57732289,1.1920930376163597e-7,0.7104676365852356
30,3,1000,128,0.00001,1,0,14759331144616783,32553260.119348988,1.1920930376163597e-7,0.6988263726234436
30,3,1000,16,0.001,1,6,14842758943656387,61568520.66046039,1.1920930376163597e-7,0.7051399946212769
30,3,2000,32,0.00001,1,8,14917563732117722,42728.74100008714,1.1920930376163597e-7,0.00020441511878743768
30,3,1500,128,0.1,1,2,15022643149662585,5856826.301811897,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1000,32,0.01,1,6,15076350968526997,24397811.091554273,1.1920930376163597e-7,0.7135977149009705
30,3,250,8,0.01,1,4,15120052812660123,623.0109038142272,0.01109047420322895,0.7117107510566711
30,3,1500,32,0.01,1,7,1522877380419797,279984.1541232879,1.1920930376163597e-7,0.00023350800620391965
30,3,500,64,0.0001,1,2,15376954276803478,61544808.66328708,1.1920930376163597e-7,0.7004778385162354
30,3,1500,8,0.00001,1,5,15378590368546574,28361.76023161084,1.1920930376163597e-7,0.0003140194748993963
30,3,1500,8,0.001,1,6,15379248321054484,98.74408437689195,1.1920930376163597e-7,1.48630718399545e-7
30,3,250,32,0.00001,1,5,15398684502450266,62073672.60024159,1.1920930376163597e-7,0.6997327208518982
30,3,500,8,0.01,1,4,1547643708159706,3989.9119970029597,0.0013877979945391417,0.7126630544662476
30,3,1000,128,0.001,1,8,15540475987230584,34573287.878542915,1.1920930376163597e-7,0.7019121646881104
30,3,250,64,0.01,1,4,15600065751977343,63064732.48209804,1.1920930376163597e-7,0.7073877453804016
30,3,500,16,0.1,1,0,15716751082220926,50723659.835650794,1.2004377936136734e-7,0.44434159994125366
30,3,2000,64,1,1,1,1578925714580447,3.46251845326491,0.002854158403351903,0.0034887141082435846
30,3,1500,8,0.001,1,1,158116824256483,1.9813147881999926,0.5193071961402893,0.6981574892997742
30,3,2000,32,1,1,4,15814514267130586,1.5938377301177313,0.14743798971176147,0.1885148286819458
30,3,500,8,0.0001,1,4,15842998671885278,133.58505261195478,0.05406608060002327,0.7065356373786926
30,3,250,64,0.0001,1,8,1584318449449429,64009264.36950107,1.1920930376163597e-7,0.7073635458946228
30,3,1000,16,0.01,1,0,15873200787131014,7519624.725570093,1.1920930376163597e-7,0.10715968906879425
