train_size,hidden_size,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
1000,4,0.3,8,039878923217424034,1.39303846302747,0.5958275198936462,0.6976925730705261
1250,20,0.03,3,040123173617630736,57063.8540746057,1.1920930376163597e-7,1.1974574931628013e-7
1000,16,0.01,8,040875711152949856,41351.12397681189,1.1920930376163597e-7,0.000002816987262121984
1750,16,0.1,1,04090164243754435,195.8984851556139,1.1920928955078125e-7,1.1976959513049223e-7
1750,4,0.1,8,04121948592650382,1.2092609763687558,0.08436723053455353,0.09066545218229294
1000,12,0.03,4,04200549683294852,5916.964377983655,1.1920930376163597e-7,1.1936428734315996e-7
1250,8,0.03,5,04243058003283129,3.3992777512928614,1.1920930376163597e-7,1.1920930376163597e-7
1000,20,0.03,5,04449867111068784,1085496.6545631455,1.1920930376163597e-7,0.005214803386479616
1250,8,0.03,7,0450878710335032,3803.2375965133265,1.1920930376163597e-7,1.2407305405304214e-7
2000,20,0.03,5,046832257826263324,53904.48966783408,1.1920930376163597e-7,1.1923314957584807e-7
2000,20,0.03,1,05010554774119513,1375.7928047427172,1.1920930376163597e-7,1.1930467280762969e-7
1750,12,0.1,0,05057721245400193,29.49716314041291,1.1920928955078125e-7,1.1920930376163597e-7
2000,8,1,0,05104148352689242,1.0772716799559336,0.6179697513580322,0.661816418170929
1250,8,0.03,2,05164240426986888,1.5522527481034136,0.5736106038093567,0.6925957202911377
1000,4,1,4,05313712317286434,1.3007915795434482,0.5926803350448608,0.6956779956817627
2000,4,0.03,7,05393879376749777,1.2272534163737545,0.09010925889015198,0.0849800705909729
1000,20,0.03,3,05464234577697269,2619707.3012439013,1.1920930376163597e-7,1.7970806709399767e-7
2000,12,1,3,05465604043371075,1.2618587409618016,0.25294771790504456,0.2614114582538605
1750,16,0.3,1,05481140502528603,1.9243006629723842,1.194477192711929e-7,1.220822554159895e-7
1000,8,0.01,1,05536012219543873,3.3293291358076607,0.42228931188583374,0.6975215077400208
