n,k,train_size,hidden_size,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,250,8,0.01,3,1736344794519843,206.68716543347222,0.03381684049963951,0.9764817953109741
30,3,2000,16,0.00001,0,17376647666384593,165468.60527460513,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,64,0.1,8,17498146415179916,62449244.55546992,1.1920930376163597e-7,1.8073559999465942
30,3,2000,8,0.0001,0,1757405925169081,152233.54435234732,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,128,0.0001,1,17596204745634603,124.89959982563423,0.06376966089010239,2.1752219200134277
30,3,1000,16,0.0001,4,17619774496902518,1030709.8146298153,1.1920930376163597e-7,0.0000603353873884771
30,3,250,128,0.00001,5,17959262858663883,66824828.03385972,1.1920930376163597e-7,2.5358715057373047
30,3,1000,128,0.01,1,1809259035777382,61050292.722237974,1.1920930376163597e-7,0.8660718202590942
30,3,1500,16,0.1,4,18097687159941844,157352.74686709084,1.1920930376163597e-7,0.0000020039537957927678
30,3,1000,128,0.001,1,1811020514699223,62949864.495791376,1.1920930376163597e-7,0.8973937630653381
30,3,2000,8,0.0001,6,18187934079881918,94704.19964787964,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,32,0.01,5,18208869259145033,113.04115670265483,0.06376966089010239,1.5638185739517212
30,3,1000,16,0.0001,5,18364468355241736,1060094.6236268731,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,16,0.1,7,18413835158645675,2517130.1999346972,1.1920930376163597e-7,0.000019590157535276376
30,3,1000,16,0.01,8,1850893794858668,1170467.6104693876,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,64,0.001,7,18571175000743045,61746008.63930218,1.1920930376163597e-7,0.8315433263778687
30,3,250,8,1,7,18609471893775487,39543587.28603705,1.1920930376163597e-7,0.757097601890564
30,3,500,8,1,7,18708401445970235,30.85955114173695,0.154021754860878,0.725688636302948
30,3,250,32,1,5,18711307395165633,50223458.01289725,1.1920930376163597e-7,0.8607006072998047
30,3,2000,16,0.01,6,18744861743754637,79131.70931676515,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,32,0.001,6,1879085661341534,62164356.58943122,1.1920930376163597e-7,0.7117152810096741
30,3,1500,8,1,6,19015138284121036,12052.143094522584,1.1920930376163597e-7,0.00001220781086885836
30,3,2000,32,0.1,3,1906354371495721,9218934.90101732,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,32,0.0001,0,19077535682071067,31.008175917255542,0.25788965821266174,2.552921772003174
30,3,500,128,0.0001,1,19129672261265573,249.73046330573482,0.03188489004969597,1.9405598640441895
30,3,1500,32,0.00001,6,1929065458833037,29206752.51828378,1.1920930376163597e-7,0.030826997011899948
30,3,250,8,0.1,3,1931619422313876,490.5061031699041,0.011090505868196487,0.8489871621131897
30,3,1000,16,1,5,19328351623487283,55073.9116457619,1.1920930376163597e-7,0.000052206327382009476
30,3,2000,128,0.1,8,19363801047842966,11287408.654436033,1.1920930376163597e-7,0.0000016238512898780755
30,3,1000,8,0.0001,4,19449142123852947,6.1678313556814786,0.4541556239128113,0.7062236070632935
30,3,1500,8,0.1,8,19515054483103267,125108.64914838682,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,16,0.1,4,19578799756542165,60192636.82447853,1.1920930376163597e-7,0.7873647809028625
30,3,2000,128,0.001,4,196004484328956,13822660.352210479,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,16,1,0,19609853133488764,1047.4901959387905,0.0045770504511892796,0.7355496287345886
30,3,250,128,0.0001,0,1970326576631558,66242748.10324906,1.1920930376163597e-7,1.9388759136199951
30,3,250,64,0.01,4,19704173319194274,64626276.295947514,1.1920930376163597e-7,2.2609477043151855
30,3,500,16,0.01,3,19735193170355414,61393384.68133823,1.1920930376163597e-7,0.7420161962509155
30,3,250,32,0.01,4,1987291816586335,62220384.58275216,1.1920930376163597e-7,1.3908827304840088
30,3,250,16,1,1,19947932804508406,44671326.67476288,1.1920930376163597e-7,0.9269515872001648
30,3,250,64,0.0001,6,2005910659193183,124.30483259822184,0.06376966089010239,2.1368470191955566
30,3,250,128,0.00001,2,2013955715590825,65422944.2009773,1.1920930376163597e-7,2.3729381561279297
