embed_size,hidden_size,learning_rate,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
32,256,0.0003,0.1,6,01700103736466796,4697431303483.421,1.636641200325116e-8,7819.155749681986
128,128,0.0001,0.03,2,017078548985016928,15254339316015.135,5.546587855656645e-9,7858.879080790703
128,256,0.0003,0.03,3,01724695003920451,12126808650748.197,5.30572807909067e-9,7876.700630706889
64,64,0.0003,1,7,01727760205683504,205669275186.62064,1.3989800028147294e-7,0.000002169743320074113
128,64,0.01,0.03,4,017535914241242456,18383515788798.76,2.5313100504524687e-9,3.113172652867805e-8
32,64,0.003,0.3,3,01754380874889261,1325284201674.7205,3.092815958826478e-8,2.504047946237292e-7
32,256,0.003,0.3,8,017784832608395473,837033058154.5529,3.020139205331278e-8,1.8332100325388776e-7
128,1024,0.003,1,3,017806322512167072,72869646853.39452,1.025854843228234e-7,6.865779478699159e-7
8,512,0.0001,3,6,01781713912419791,3.443620386628378,376.62392150516285,1120.446916266476
128,256,0.0001,1,7,017854715386274145,206385925900.51736,1.1687123090622928e-7,0.0000012121216721516734
8,512,0.0001,3,7,01795970703664662,2.970453244472986,476.2609584930282,1221.8795644304353
32,128,0.01,0.03,0,01796842375528296,16922101657458.719,2.486632455496332e-9,2.4139448883877755e-8
16,256,0.0001,0.1,1,018000908487472045,5451513164266.229,1.6875029373664564e-8,7816.0158810819285
128,256,0.003,0.3,5,018344708297435397,771108003366.9374,2.981143354338511e-8,2.9683470720848903e-7
16,512,0.003,0.3,2,018387601378497043,968575315354.7133,3.218565458529305e-8,1.8801492383911596e-7
64,128,0.0001,0.3,4,01857919567653743,1239950200640.8105,6.284166298198035e-8,7833.227739714882
128,1024,0.001,0.1,8,01860154488262067,2954107790492.993,8.873586754223679e-9,8.328314992868113e-8
8,64,0.003,0.3,4,018771831077844414,13.266245306779865,5.251479717566335e-8,1.881155633367393e-7
64,256,0.003,0.1,8,019017676968369646,3303105440961.563,8.62007865082876e-9,5.734601260379408e-8
