embed_size,hidden_size,learning_rate,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
64,64,0.003,0.3,0,2023-05-10-17h55m54s30469564377454517,3647831077426.989,5.4528844106218224e-8,1.9060609867873694e-7
8,128,0.003,0.3,0,2023-05-10-17h55m54s4470904123353018,340.79425056116065,9.141861201157154e-8,3.6818163026316476e-7
128,128,0.01,1,0,2023-05-10-17h55m55s6410377147909734,19860.38796037492,1.9614283841025057e-7,6.038025186278846e-7
8,512,0.0003,1,0,2023-05-10-17h55m56s025727275211021028,4.59248801399585,0.006071732953373521,0.017669621364573194
64,128,0.003,3,1,2023-05-10-17h55m56s875036558413432,27.22431051768344,0.000003090080577339187,0.00001209427204687325
16,64,0.003,1,1,2023-05-10-17h55m57s057530716579069496,8.91237613554251,7.295454401912948e-7,0.0000020985500815685736
16,512,0.001,1,0,2023-05-10-17h55m57s10713489866810677,3028.2726689823735,4.251008937948098e-7,0.000001202047716166926
8,1024,0.01,0.3,0,2023-05-10-17h55m57s42530722754513806,5.600883881520344,6.708021715813096e-8,1.7255182194026796e-7
64,64,0.003,0.03,1,2023-05-10-17h56m00s7757140458879616,56914501485993.1,5.0602328993627675e-9,1.726113607599227e-8
64,64,0.001,3,0,2023-05-10-17h56m01s8212849744353902,7.664060605661995,0.00003316833000977077,0.00020926558289726554
32,64,0.001,3,0,2023-05-10-17h56m02s838977554781783,3.249056440613556,1068.0175049996328,2631.118857473077
8,256,0.01,0.1,1,2023-05-10-17h56m03s16155577545839472,3.5716834002611155,2.311737667951294e-8,6.36177313048503e-8
64,256,0.0001,0.3,0,2023-05-10-17h56m03s37274152299160535,2730655228112.7207,1.5668188546240117e-7,42278.16907555809
32,256,0.01,0.03,1,2023-05-10-17h56m03s7243395300868066,23988311420669.098,4.416039089957932e-9,1.1709905711746069e-8
128,64,0.0003,0.1,0,2023-05-10-17h56m03s8047699495911842,16145189207457.086,5.2509073311223414e-8,42309.52527378984
8,512,0.003,3,1,2023-05-10-17h56m03s8496679899774071,2.5780134401447197,4821.118716742266,11522.274884642857
16,128,0.001,1,1,2023-05-10-17h56m04s33683059832455686,6.491405220951362,9.377639599088033e-7,0.000002821253149210317
8,256,0.01,0.03,0,2023-05-10-17h56m04s6796254462132933,2849871.311536428,5.19941001364012e-9,1.5512941375902825e-8
64,64,0.01,0.1,0,2023-05-10-17h56m05s33993259386151975,10195587416369.12,1.745707178808199e-8,4.8647458727835896e-8
32,128,0.001,0.1,1,2023-05-10-17h56m05s9391987894159194,9381893783818.584,1.6970596261557233e-8,4.640731754420121e-8
16,64,0.01,3,0,2023-05-10-17h56m07s9839310855415542,2.4666745474828145,8644.503020595035,21151.122367805365
16,128,0.01,3,0,2023-05-10-17h56m09s30025607559922685,2.68592547848758,3214.362894656386,7879.07296284868
16,512,0.003,0.1,1,2023-05-10-17h56m09s5328283733038591,300950032.42304695,1.612911937337141e-8,4.7553648352274515e-8
16,128,0.001,0.3,0,2023-05-10-17h56m09s710789397988262,177.95582159028586,6.186474887854246e-8,1.713491069015923e-7
8,512,0.01,0.1,1,2023-05-10-17h56m09s8202598075933345,8.096292850034258,1.7479968139568442e-8,4.644547013641528e-8
8,64,0.0001,0.03,0,2023-05-10-17h56m10s37847473920653063,4660092.358287189,6.864896017192349e-7,0.013607443469540228
128,64,0.01,0.03,1,2023-05-10-17h56m11s2769338922616892,58800540478357.16,4.8972044197585975e-9,1.3765671491568146e-8
8,64,0.003,0.3,1,2023-05-10-17h56m11s9129193462563674,133.45962284274833,1.0931528948482065e-7,4.275668219102539e-7
32,64,0.001,1,0,2023-05-10-17h56m14s35565633867988644,25.32861056417094,3.1705244605916703e-7,0.0000010095997537211794
32,64,0.0003,0.1,0,2023-05-10-17h56m14s36166817616704483,6738194160129.366,7.191675743712704e-8,34236.50733785353
16,64,0.003,0.1,1,2023-05-10-17h56m15s37329513884366605,1458206.2501061335,1.7777275873510647e-8,9.651350496482164e-8
8,256,0.001,0.03,0,2023-05-10-17h56m15s46713839586013406,2979826184.526011,3.3809282040605197e-9,1.8563792281135403e-8
16,128,0.003,0.03,0,2023-05-10-17h56m15s6718427304275659,155118668.38496515,4.3326211507316866e-9,1.2815668526390052e-8
128,128,0.001,0.03,0,2023-05-10-17h56m15s8171525837325583,40111339430486.22,1.217741152357256e-8,42334.46878284448
16,64,0.0001,1,0,2023-05-10-17h56m16s7389901767180077,18.906530859989967,0.000002546405983883373,0.000008164820855365495
8,64,0.01,3,1,2023-05-10-17h56m17s3299464963750769,2.398458552954789,11330.552078617895,26823.68804354461
32,512,0.01,0.03,0,2023-05-10-17h56m17s8487729094570153,20252164820988.26,4.335744208103069e-9,1.1873708238843595e-8
32,256,0.01,0.1,1,2023-05-10-17h56m18s41330335549029495,5808998281341.3125,1.5696020483313542e-8,4.1699829589246475e-8
16,256,0.01,0.1,0,2023-05-10-17h56m19s3462991216668233,8911.328617156247,2.0028947167405335e-8,5.292598581602469e-8
32,256,0.003,0.1,1,2023-05-10-17h56m19s3812937181265874,3623559644123.32,1.7194670132130294e-8,4.514292961654037e-8
16,256,0.001,0.3,1,2023-05-10-17h56m20s7836861227510518,11540.489107739153,8.13209171101777e-8,2.302891590724588e-7
64,128,0.003,1,0,2023-05-10-17h56m21s09429251177399811,3120653.9450878184,2.215834464734422e-7,6.935343963265455e-7
64,256,0.01,0.1,1,2023-05-10-17h56m21s43608637816681517,6873265895496.958,1.5315837043029824e-8,4.162358258053752e-8
